data,cambio real
2010-01-01,119.338480111644
2010-04-01,122.06979973986
2010-07-01,120.550742924502
2010-10-01,122.293869482958
2011-01-01,124.603007258362
2011-04-01,125.777478335976
2011-07-01,124.157804717359
2011-10-01,120.419345092767
2012-01-01,122.531999302909
2012-04-01,121.972802512737
2012-07-01,123.433477635766
2012-10-01,122.922607825891
2013-01-01,120.61590178118
2013-04-01,119.323435418421
2013-07-01,117.615673607449
2013-10-01,115.776930807863
2014-01-01,110.58092371503
2014-04-01,112.208514652848
2014-07-01,112.613286249199
2014-10-01,109.411020566969
2015-01-01,102.182522984268
2015-04-01,103.45578045264
2015-07-01,97.9219108688384
2015-10-01,96.4397856942534
2016-01-01,94.3099713180552
2016-04-01,100.043236131663
2016-07-01,98.782329956601
2016-10-01,97.0706124361412
2017-01-01,98.1349388140247
2017-04-01,95.9300603996369
2017-07-01,101.633316507278
2017-10-01,100.195951933679
2018-01-01,99.8404895768355
2018-04-01,98.5240866307374
2018-07-01,98.4753652436677
2018-10-01,97.5052913034443
2019-01-01,96.8155453752296
2019-04-01,96.890878124394
2019-07-01,98.4961437288419
2019-10-01,98.0138436401526
