DATE,CCUSMA02CAQ618N
2010-01-01,1.04076925465839
2010-04-01,1.02792784992785
2010-07-01,1.03903030303031
2010-10-01,1.01320230252839
2011-01-01,0.986117598343685
2011-04-01,0.967845598845599
2011-07-01,0.979759959846916
2011-10-01,1.02278066378066
2012-01-01,1.00092857142857
2012-04-01,1.01014561766735
2012-07-01,0.994909617918314
2012-10-01,0.990971108601543
2013-01-01,1.0086259489303
2013-04-01,1.02349505772006
2013-07-01,1.03865543321413
2013-10-01,1.04972716293369
2014-01-01,1.10328255693582
2014-04-01,1.09013759018759
2014-07-01,1.08888756822888
2014-10-01,1.13646804347826
2015-01-01,1.24028015151515
2015-04-01,1.2292
2015-07-01,1.30848665223665
2015-10-01,1.33512814480206
2016-01-01,1.37368985507246
2016-04-01,1.28851305916306
2016-07-01,1.30442676140285
2016-10-01,1.33500692640692
2017-01-01,1.32329442687747
2017-04-01,1.34467166007905
2017-07-01,1.25321994478951
2017-10-01,1.2712158008658
2018-01-01,1.26488072463768
2018-04-01,1.29092746721877
2018-07-01,1.30693067852437
2018-10-01,1.32179312378443
2019-01-01,1.32975388543823
2019-04-01,1.33748812911726
2019-07-01,1.32062069765983
2019-10-01,1.31995138967313
